POS,ODR,POF,ideal_prob
0.066,0.071,0.934,0.0
0.069,0.074,0.931,0.0
0.186,0.228,0.814,0.0
0.069,0.074,0.931,0.0
0.685,2.175,0.315,0.0
0.315,0.46,0.685,0.0
0.958,22.827,0.042,0.0
0.042,0.044,0.958,0.0
0.091,0.1,0.909,0.0
0.162,0.193,0.838,0.0
0.162,0.193,0.838,0.0
0.095,0.105,0.905,0.0
0.161,0.192,0.839,0.0
0.086,0.094,0.914,0.0
0.091,0.1,0.909,0.0
0.15,0.177,0.85,0.0
0.081,0.088,0.919,0.0
0.175,0.213,0.825,0.0
0.18,0.219,0.82,0.0
0.169,0.203,0.831,0.0
0.076,0.082,0.924,0.0
0.174,0.211,0.826,0.0
0.079,0.086,0.921,0.0
0.08,0.086,0.92,0.0
0.813,4.361,0.187,0.0
0.187,0.229,0.813,0.0
0.787,3.689,0.213,0.0
0.156,0.185,0.844,0.0
0.022,0.023,0.978,1.0
0.007,0.007,0.993,1.0
0.008,0.008,0.992,1.0
0.004,0.004,0.996,1.0
0.002,0.002,0.998,1.0
0.011,0.011,0.989,1.0
0.017,0.017,0.983,1.0
0.647,1.837,0.353,0.0
0.304,0.437,0.696,0.0
0.007,0.007,0.993,1.0
0.014,0.014,0.986,1.0
0.002,0.002,0.998,1.0
0.009,0.009,0.991,1.0
0.001,0.001,0.999,1.0
0.106,0.119,0.894,0.0
0.105,0.118,0.895,0.0
0.144,0.168,0.856,0.0
0.142,0.166,0.858,0.0
0.106,0.119,0.894,0.0
0.145,0.17,0.855,0.0
0.144,0.168,0.856,0.0
0.106,0.119,0.894,0.0
0.885,7.678,0.115,0.0
0.06,0.063,0.94,0.0
0.014,0.014,0.986,1.0
0.025,0.026,0.975,1.0
0.004,0.004,0.996,1.0
0.006,0.006,0.994,1.0
0.003,0.003,0.997,1.0
0.002,0.002,0.998,1.0
0.009,0.009,0.991,1.0
0.723,2.613,0.277,0.0
0.223,0.286,0.777,0.0
0.017,0.017,0.983,1.0
0.013,0.013,0.987,1.0
0.003,0.003,0.997,1.0
0.006,0.006,0.994,1.0
0.003,0.003,0.997,1.0
0.066,0.071,0.934,0.0
0.18,0.22,0.82,0.0
0.191,0.237,0.809,0.0
0.189,0.234,0.811,0.0
0.061,0.065,0.939,0.0
0.183,0.223,0.817,0.0
0.067,0.072,0.933,0.0
0.065,0.069,0.935,0.0
0.161,0.191,0.839,0.0
0.163,0.194,0.837,0.0
0.17,0.205,0.83,0.0
0.086,0.095,0.914,0.0
0.089,0.098,0.911,0.0
0.154,0.182,0.846,0.0
0.088,0.097,0.912,0.0
0.093,0.102,0.907,0.0
0.318,0.467,0.682,0.0
0.682,2.141,0.318,0.0
0.339,0.513,0.661,0.0
0.661,1.951,0.339,0.0
0.179,0.218,0.821,0.0
0.187,0.23,0.813,0.0
0.18,0.219,0.82,0.0
0.071,0.077,0.929,0.0
0.066,0.071,0.934,0.0
0.181,0.221,0.819,0.0
0.067,0.072,0.933,0.0
0.07,0.075,0.93,0.0
0.137,0.158,0.863,0.0
0.137,0.158,0.863,0.0
0.106,0.119,0.894,0.0
0.145,0.17,0.855,0.0
0.11,0.124,0.89,0.0
0.14,0.162,0.86,0.0
0.108,0.122,0.892,0.0
0.112,0.126,0.888,0.0
0.217,0.277,0.783,0.0
0.203,0.255,0.797,0.0
0.038,0.04,0.962,0.0
0.207,0.261,0.793,0.0
0.217,0.277,0.783,0.0
0.039,0.04,0.961,0.0
0.037,0.039,0.963,0.0
0.037,0.038,0.963,0.0
0.759,3.154,0.241,0.0
0.191,0.236,0.809,0.0
0.016,0.016,0.984,1.0
0.011,0.011,0.989,1.0
0.002,0.002,0.998,1.0
0.008,0.008,0.992,1.0
0.012,0.012,0.988,1.0
0.004,0.004,0.996,1.0
0.193,0.239,0.807,0.0
0.189,0.233,0.811,0.0
0.197,0.245,0.803,0.0
0.053,0.056,0.947,0.0
0.055,0.058,0.945,0.0
0.197,0.245,0.803,0.0
0.059,0.063,0.941,0.0
0.056,0.059,0.944,0.0
0.211,0.267,0.789,0.0
0.196,0.244,0.804,0.0
0.213,0.27,0.787,0.0
0.208,0.263,0.792,0.0
0.041,0.043,0.959,0.0
0.043,0.045,0.957,0.0
0.037,0.038,0.963,0.0
0.039,0.04,0.961,0.0
0.487,0.949,0.513,0.0
0.513,1.054,0.487,0.0
0.074,0.08,0.926,0.0
0.177,0.215,0.823,0.0
0.074,0.08,0.926,0.0
0.174,0.21,0.826,0.0
0.178,0.217,0.822,0.0
0.177,0.215,0.823,0.0
0.072,0.077,0.928,0.0
0.068,0.073,0.932,0.0
0.183,0.224,0.817,0.0
0.174,0.211,0.826,0.0
0.169,0.204,0.831,0.0
0.074,0.08,0.926,0.0
0.181,0.221,0.819,0.0
0.072,0.077,0.928,0.0
0.076,0.082,0.924,0.0
0.07,0.075,0.93,0.0
0.188,0.232,0.812,0.0
0.194,0.24,0.806,0.0
0.188,0.232,0.812,0.0
0.057,0.061,0.943,0.0
0.06,0.064,0.94,0.0
0.063,0.068,0.937,0.0
0.186,0.228,0.814,0.0
0.059,0.063,0.941,0.0
0.906,9.66,0.094,0.0
0.094,0.104,0.906,0.0
0.184,0.225,0.816,0.0
0.19,0.234,0.81,0.0
0.062,0.066,0.938,0.0
0.061,0.064,0.939,0.0
0.184,0.225,0.816,0.0
0.062,0.066,0.938,0.0
0.187,0.229,0.813,0.0
0.064,0.069,0.936,0.0
0.021,0.021,0.979,1.0
0.806,4.146,0.194,0.0
0.138,0.16,0.862,0.0
0.017,0.017,0.983,1.0
0.007,0.007,0.993,1.0
0.002,0.002,0.998,1.0
0.002,0.002,0.998,1.0
0.004,0.004,0.996,1.0
0.893,8.356,0.107,0.0
0.107,0.12,0.893,0.0
0.193,0.24,0.807,0.0
0.182,0.222,0.818,0.0
0.067,0.072,0.933,0.0
0.066,0.071,0.934,0.0
0.178,0.217,0.822,0.0
0.188,0.232,0.812,0.0
0.068,0.073,0.932,0.0
0.062,0.066,0.938,0.0
0.619,1.622,0.381,0.0
0.381,0.616,0.619,0.0
0.168,0.202,0.832,0.0
0.088,0.097,0.912,0.0
0.083,0.09,0.917,0.0
0.165,0.198,0.835,0.0
0.166,0.199,0.834,0.0
0.078,0.085,0.922,0.0
0.174,0.21,0.826,0.0
0.078,0.084,0.922,0.0
0.878,7.192,0.122,0.0
0.122,0.139,0.878,0.0
0.131,0.151,0.869,0.0
0.139,0.161,0.861,0.0
0.133,0.153,0.867,0.0
0.115,0.13,0.885,0.0
0.141,0.164,0.859,0.0
0.112,0.127,0.888,0.0
0.112,0.126,0.888,0.0
0.119,0.135,0.881,0.0
0.547,1.209,0.453,0.0
0.453,0.827,0.547,0.0
0.882,7.463,0.118,0.0
0.058,0.061,0.942,0.0
0.021,0.021,0.979,1.0
0.017,0.017,0.983,1.0
0.002,0.002,0.998,1.0
0.007,0.007,0.993,1.0
0.004,0.004,0.996,1.0
0.003,0.003,0.997,1.0
0.188,0.232,0.812,0.0
0.176,0.214,0.824,0.0
0.065,0.069,0.935,0.0
0.187,0.229,0.813,0.0
0.183,0.224,0.817,0.0
0.07,0.076,0.93,0.0
0.064,0.069,0.936,0.0
0.064,0.069,0.936,0.0
0.237,0.311,0.763,0.0
0.233,0.304,0.767,0.0
0.226,0.291,0.774,0.0
0.24,0.316,0.76,0.0
0.019,0.019,0.981,0.0
0.017,0.017,0.983,0.0
0.014,0.014,0.986,0.0
0.015,0.015,0.985,0.0
0.118,0.134,0.882,0.0
0.118,0.133,0.882,0.0
0.141,0.164,0.859,0.0
0.118,0.133,0.882,0.0
0.126,0.145,0.874,0.0
0.115,0.13,0.885,0.0
0.132,0.153,0.868,0.0
0.128,0.147,0.872,0.0
0.149,0.175,0.851,0.0
0.148,0.174,0.852,0.0
0.151,0.178,0.849,0.0
0.152,0.179,0.848,0.0
0.098,0.109,0.902,0.0
0.104,0.117,0.896,0.0
0.095,0.105,0.905,0.0
0.093,0.103,0.907,0.0
0.126,0.144,0.874,0.0
0.124,0.141,0.876,0.0
0.129,0.149,0.871,0.0
0.122,0.139,0.878,0.0
0.114,0.129,0.886,0.0
0.12,0.137,0.88,0.0
0.13,0.149,0.87,0.0
0.136,0.158,0.864,0.0
0.627,1.684,0.373,0.0
0.01,0.01,0.99,1.0
0.319,0.468,0.681,0.0
0.017,0.017,0.983,1.0
0.011,0.011,0.989,1.0
0.002,0.002,0.998,1.0
0.008,0.008,0.992,1.0
0.004,0.004,0.996,1.0
0.108,0.121,0.892,0.0
0.143,0.167,0.857,0.0
0.115,0.13,0.885,0.0
0.109,0.123,0.891,0.0
0.133,0.154,0.867,0.0
0.12,0.136,0.88,0.0
0.133,0.153,0.867,0.0
0.134,0.154,0.866,0.0
0.241,0.317,0.759,0.0
0.233,0.304,0.767,0.0
0.239,0.314,0.761,0.0
0.241,0.318,0.759,0.0
